ÈÕÆÚ,000627.SZ,600291.SH,601318.SH,601319.SH,601336.SH,601601.SH,601628.SH
2015/6/10,15.9468,36.485,40.0022,,63.0608,30.6856,35.2776
2015/6/11,16.2325,36.485,40.8208,,63.7003,30.6856,35.4561
2015/6/12,16.6757,36.485,40.7846,,62.5072,30.3593,35.0004
2015/6/15,15.7794,36.485,39.3373,,59.6343,29.1421,33.8229
2015/6/16,14.9028,36.485,39.1203,,58.7849,28.6482,33.1393
2015/6/17,15.0702,36.485,39.3464,,59.2335,28.8157,33.3007
2015/6/18,14.7649,36.485,37.9715,,56.2365,27.3251,31.7434
2015/6/19,13.3366,36.485,36.3796,,53.4017,25.6405,29.455
2015/6/23,13.573,36.485,38.1841,,56.8091,27.1311,30.8603
2015/6/24,13.7602,36.485,38.3831,,56.8855,27.2722,30.8888
2015/6/25,12.7752,36.485,37.2796,,55.9024,26.152,29.455
2015/6/26,11.4947,36.485,35.0228,,52.915,24.7496,27.309
2015/6/29,10.3423,36.485,34.6067,,54.3753,24.8643,27.4989
2015/6/30,10.9234,36.485,37.058,,58.279,26.6195,29.7399
2015/7/1,9.9483,36.485,35.5746,,54.1462,25.1642,28.1731
2015/7/2,8.9535,36.485,35.1901,,50.9774,24.4674,26.7773
