ÈÕÆÚ,000708.SZ,000709.SZ,000717.SZ,000761.SZ,000778.SZ,000825.SZ,000898.SZ,000932.SZ,000959.SZ,002075.SZ,002110.SZ,002318.SZ,002443.SZ,002478.SZ,002756.SZ,200761.SZ,600010.SH,600019.SH,600022.SH,600117.SH,600126.SH,600231.SH,600282.SH,600307.SH,600399.SH,600507.SH,600569.SH,600581.SH,600782.SH,600808.SH,601003.SH,601005.SH,603878.SH
2017/7/6,10.867,4.0516,5.35,5.281,6.147,4.1801,4.1303,2.7777,7.28,16.0401,7.2797,7.9979,9.209,5.4873,25.348,2.7504,2.2758,6.185,2.13,5.24,5.3361,3.0475,3.6369,2.96,7.3,7.1125,2.8566,6.0797,3.6598,3.5336,4.1301,2.13,16.3337
2017/7/7,10.922,4.0796,5.48,5.3689,6.1195,4.227,4.1516,2.7777,7.37,16.0401,7.7029,8.083,9.2853,5.4873,25.348,2.7695,2.3652,6.1939,2.16,5.26,5.4482,3.1007,3.646,3,7.21,7.0492,2.8954,6.46,3.7641,3.5423,4.1385,2.18,16.7788
2017/7/10,11.1051,4.1639,5.55,5.6715,6.2294,4.2832,4.2859,2.9134,7.54,16.0401,8.4742,8.2248,9.1422,5.4873,25.348,2.8266,2.3652,6.4056,2.19,5.35,5.4632,3.1184,3.7562,3.05,7.21,7.0809,2.9535,7.0155,3.8305,3.7233,4.2655,2.19,17.7162
2017/7/11,10.7847,4.0984,5.47,5.5836,6.1103,4.1708,4.2364,3.0562,7.49,16.0401,8.4957,7.9696,8.9601,5.4873,25.348,2.798,2.3155,6.3615,2.16,5.17,5.3286,3.0032,3.7195,2.97,7.21,6.7957,2.8954,6.5551,3.7736,3.6198,4.1047,2.14,16.9811
2017/7/12,10.9403,4.089,5.5,5.4665,5.9821,4.1614,4.2294,3.2062,7.49,16.0401,8.4957,8.0452,9.123,5.4873,25.348,2.7885,2.3056,6.2645,2.16,5.2,5.381,3.0209,3.6552,2.98,7.21,6.867,2.8857,6.6502,3.7547,3.6112,4.1978,2.12,16.9339
2017/7/13,11.2149,4.1358,5.42,5.4958,5.9729,4.2364,4.2647,3.3633,7.5,16.0401,8.4957,8.0547,9.0559,5.8039,25.348,2.8361,2.405,6.3792,2.2,5.3,5.5379,3.0298,3.7379,3.01,7.21,7.1284,2.9341,6.5751,3.9727,3.6112,4.1978,2.12,16.7923
2017/7/14,11.1509,4.1451,5.63,5.4958,5.9821,4.2176,4.2789,3.5346,7.74,16.0401,8.4957,7.9129,8.8738,6.0438,25.348,2.8646,2.3752,6.335,2.19,5.2,5.5379,3.0209,3.692,2.98,7.21,7.065,2.9051,6.5751,3.9538,3.594,4.1385,2.17,16.5293
2017/7/17,10.7755,3.9299,5.48,5.3103,5.614,4.0958,4.2011,3.4561,7.26,16.0401,8.4957,7.2795,8.3372,5.6408,25.348,2.8075,2.3354,6.2821,2.13,4.91,5.3137,2.9235,3.5909,2.85,6.7,7.2155,2.7501,6.5751,4.0107,3.4647,3.9524,2.13,14.877
2017/7/18,11.1966,4.0235,5.63,5.4275,5.7152,4.2364,4.3142,3.6203,7.41,16.0401,8.4957,7.4118,8.3947,5.8423,25.348,2.8456,2.4646,6.4497,2.2,5.11,5.5902,3.0564,3.8113,2.96,7.06,7.9363,2.8857,6.5751,4.2951,3.7405,4.1639,2.17,14.9243
2017/7/19,11.5628,4.2574,5.86,5.6715,5.8625,4.4051,4.4486,3.706,7.6,16.0401,8.4957,7.5631,8.4714,5.9574,25.348,2.9122,2.5143,6.6968,2.27,5.4,5.8144,3.1892,4.1512,3.07,7.11,8.7283,3.0019,6.5751,4.608,3.9732,4.3683,2.25,15.1603
