ÈÕÆÚ,000028.SZ,000078.SZ,000411.SZ,000705.SZ,000950.SZ,002462.SZ,002589.SZ,002727.SZ,002758.SZ,002788.SZ,002872.SZ,200028.SZ,600056.SH,600090.SH,600272.SH,600511.SH,600713.SH,600829.SH,600833.SH,600998.SH,601607.SH,603233.SH,603368.SH,603716.SH,603883.SH,603939.SH,900943.SH
2014/6/13,38.9864,2.9818,11.1636,7.9565,3.77,17.3076,4.9196,,,,,31.721,9.7843,6.657,13.0435,20.4681,5.339,6.05,9.6685,13.1983,11.2482,,,,,,0.7367
2014/6/16,38.9864,3.0328,11.0844,7.9565,3.8,17.4047,4.9196,,,,,31.7876,9.8025,6.6185,12.7591,20.9026,5.3867,5.9957,9.6685,13.6256,11.3775,,,,,,0.7377
2014/6/17,37.9453,2.9896,11.0548,7.9565,3.78,17.0455,4.9196,,,,,31.3688,9.6749,6.4834,12.612,20.5909,5.3581,5.9323,9.5712,13.1012,11.2667,,,,,,0.7386
2014/6/18,38.0329,2.9425,10.9261,7.9565,3.74,16.8223,4.9196,,,,,31.1214,9.5155,6.4255,12.3472,20.1564,5.3104,5.8145,9.3377,13.1109,11.1836,,,,,,0.729
2014/6/19,37.4005,2.8246,10.6886,7.9565,3.63,15.9778,4.9196,,,,,30.6741,9.3215,6.2615,11.9059,19.8218,5.1197,5.7149,9.1335,12.5434,11.0173,,,,,,0.7223
2014/6/20,37.4783,2.8443,10.8073,7.9565,3.67,16.3855,4.9196,,,,,30.931,9.1552,6.3097,12.0628,20.3381,5.1197,5.733,9.2405,12.7,11.0728,,,,,,0.73
2014/6/23,37.7896,2.86,10.9261,7.4949,3.68,16.2981,4.9196,,,,,30.8739,9.1737,6.3387,12.2001,20.7875,5.1674,5.7693,9.3572,12.7196,11.0451,,,,,,0.729
2014/6/24,38.4026,2.8639,10.8964,7.5246,3.71,16.4243,4.9196,,,,,30.931,9.1737,6.3965,12.1903,21.5238,5.1769,5.8055,9.3766,12.7098,11.2298,,,,,,0.7348
2014/6/25,38.101,2.8286,10.8469,7.4998,3.69,16.3175,4.9196,,,,,31.1023,9.2291,6.3097,11.7882,21.1413,5.1769,5.7874,9.2307,12.6021,11.1374,,,,,,0.7261
2014/6/26,39.2394,2.8639,10.9459,7.7827,3.8,17.1426,4.9196,,,,,32.0255,9.2845,6.3773,11.9353,21.5907,5.2723,5.8689,9.3377,12.5239,11.2298,,,,,,0.7367
2014/6/27,39.3658,2.8875,11.0844,7.8175,3.82,17.2882,4.9196,,,,,32.0731,9.34,6.4158,11.9745,21.629,5.3199,5.8961,9.3669,12.6608,11.239,,,,,,0.7377
2014/6/30,38.8696,2.9111,11.4605,8.1054,3.84,18.0745,4.9196,,,,,32.311,9.8204,6.4351,12.1118,21.7055,5.3867,5.9142,9.4934,13.1011,11.4791,,,,,,0.7348
2014/7/1,40.8642,2.9464,11.4308,8.1699,3.86,18.4045,4.9196,,,,,33.0248,9.7742,6.4448,12.1511,21.5716,5.3867,5.9957,9.4934,12.9348,11.4606,,,,,,0.7377
2014/7/2,41.6717,2.9543,11.4605,8.2195,3.87,18.8802,4.9196,8.3585,,,,34.3287,10.1252,6.493,12.406,21.4855,5.4057,6.0319,9.7171,13.8937,11.4422,,,,,,0.7415
2014/7/3,41.6134,3.0328,11.3813,8.1947,3.87,18.6763,5.4116,9.1958,,,,33.9765,10.0513,6.5606,12.5338,21.5238,5.4534,6.0953,9.7657,14.4905,11.553,,,,,,0.7415
2014/7/4,40.6307,3.0014,11.3517,8.0309,3.87,19.647,5.7893,10.1139,,,,33.9385,9.9497,6.5123,12.5633,21.8011,5.4153,6.0681,10.0089,14.4024,11.553,,,,,,0.7444
2014/7/7,41.0199,3.0093,11.3121,8.16,3.88,19.5791,5.9494,11.1272,,,,33.9765,9.8758,6.5606,12.3372,21.3804,5.3771,6.0591,9.9311,14.4514,11.4145,,,,,,0.7415
